,league_id,year,start,end,current,events,lineups,statistics_fixtures,statistics_players,standings,players,top_scorers,top_assists,top_cards,injuries,predictions,odds
5788,825,2022,2023-02-09,2023-04-06,False,True,True,False,False,False,True,True,True,True,False,True,False
5789,825,2023,2024-05-01,2024-05-04,True,True,True,False,False,False,True,True,True,True,False,True,False
5790,826,2021,2021-01-30,2021-01-30,False,True,True,False,False,False,False,False,False,False,False,True,False
5791,826,2022,2022-01-06,2022-01-06,False,True,True,False,False,False,False,False,False,False,False,True,False
5792,826,2023,2023-01-26,2023-01-29,False,True,True,False,False,False,False,False,False,False,False,True,False
5793,826,2024,2024-04-08,2024-04-11,True,True,True,False,False,False,False,False,False,False,False,True,False
5794,831,2021,2021-01-09,2021-01-09,False,True,True,False,False,False,False,False,False,False,False,True,False
5795,831,2023,2023-01-29,2023-01-29,False,True,True,False,False,False,False,False,False,False,False,True,False
5796,831,2024,2023-10-07,2023-10-07,True,True,True,False,False,False,False,False,False,False,False,True,False
5797,833,2021,2021-03-12,2021-10-09,False,False,False,False,False,False,False,False,False,False,False,True,False
5798,833,2022,2022-02-26,2022-09-10,False,False,False,False,False,False,False,False,False,False,False,True,False
5799,833,2023,2023-02-24,2023-09-17,False,False,False,False,False,False,True,True,True,True,False,True,False
5800,833,2024,2024-02-23,2024-08-18,True,True,False,False,False,False,True,True,True,True,False,True,True
5801,834,2021,2021-04-10,2021-10-21,False,False,False,False,False,False,False,False,False,False,False,True,False
5802,834,2022,2022-02-19,2022-09-10,False,False,False,False,False,False,False,False,False,False,False,True,False
5803,834,2023,2023-02-18,2023-09-09,False,False,False,False,False,False,True,True,True,True,False,True,False
5804,834,2024,2024-02-24,2024-08-10,True,True,False,False,False,False,True,True,True,True,False,True,True
5805,835,2021,2021-03-06,2021-08-01,False,False,False,False,False,False,False,False,False,False,False,True,False
5806,835,2022,2022-03-12,2022-09-03,False,False,False,False,False,False,False,False,False,False,False,True,False
5807,835,2023,2023-02-04,2023-08-26,False,False,False,False,False,False,True,True,True,True,False,True,False
5808,835,2024,2024-02-16,2024-08-25,True,True,False,False,False,False,True,True,True,True,False,True,True
5809,836,2021,2021-03-19,2021-09-11,False,False,False,False,False,False,False,False,False,False,False,True,False
5810,836,2022,2022-03-18,2022-08-20,False,False,False,False,False,False,False,False,False,False,False,True,False
5811,836,2023,2023-02-17,2023-08-19,False,False,False,False,False,False,True,True,True,True,False,True,False
5812,836,2024,2024-02-09,2024-08-17,True,True,False,False,False,False,True,True,True,True,False,True,True
5813,839,2021,2021-04-03,2021-04-03,False,True,True,False,False,False,False,False,False,False,False,True,False
5814,839,2022,2022-02-26,2022-02-26,False,True,True,False,False,False,False,False,False,False,False,True,False
5815,839,2023,2023-02-26,2023-02-26,False,True,True,False,False,False,False,False,False,False,False,True,False
5816,839,2024,2024-02-25,2024-02-25,True,True,True,False,False,False,False,False,False,False,False,True,False
5817,842,2021,2021-05-02,2021-05-02,False,True,True,False,False,False,False,False,False,False,False,True,False
5818,842,2022,2022-01-30,2022-01-30,False,True,True,False,False,False,False,False,False,False,False,True,False
5819,842,2023,2023-01-29,2023-01-29,False,True,True,False,False,False,False,False,False,False,False,True,False
5820,842,2024,2024-01-31,2024-01-31,True,True,True,False,False,False,False,False,False,False,False,True,False
5821,846,2021,2021-01-18,2021-08-02,False,False,False,False,False,False,False,False,False,False,False,True,False
5822,846,2022,2022-06-17,2022-10-23,False,False,False,False,False,True,False,False,False,False,False,True,False
5823,846,2023,2023-12-31,2024-07-17,True,True,False,False,False,True,False,False,False,False,False,True,False
5824,848,2021,2021-07-06,2022-05-25,False,True,True,True,True,True,True,True,True,True,False,True,False
5825,848,2022,2022-07-05,2023-06-07,False,True,True,True,True,True,True,True,True,True,False,True,False
5826,848,2023,2023-07-12,2024-05-29,False,True,True,True,True,True,True,True,True,True,False,True,False
5827,848,2024,2024-07-11,2024-08-01,True,False,False,False,False,False,False,False,False,False,False,True,False
5828,851,2021,2021-06-05,2021-09-04,False,True,False,False,False,False,False,False,False,False,False,True,False
5829,851,2022,2022-04-30,2022-08-24,False,True,False,False,False,False,False,False,False,False,False,True,False
5830,851,2023,2023-05-13,2023-08-19,False,True,False,False,False,False,True,True,True,True,False,True,False
5831,851,2024,2024-05-18,2024-07-20,True,True,False,False,False,False,True,True,True,True,False,True,False
5832,852,2021,2021-07-13,2021-07-13,False,True,True,False,False,False,False,False,False,False,False,True,False
5833,852,2022,2022-08-12,2022-08-12,False,True,True,False,False,False,False,False,False,False,False,True,False
5834,852,2023,2023-07-20,2023-07-20,True,True,True,False,False,False,False,False,False,False,False,True,False
5835,853,2021,2021-06-19,2021-06-26,False,True,True,False,False,False,False,False,False,False,False,True,False
5836,853,2022,2023-02-11,2023-02-11,True,True,True,False,False,False,False,False,False,False,False,True,False
5837,854,2021,2021-09-12,2022-05-22,False,True,False,False,False,True,False,False,False,False,False,True,False
5838,854,2022,2022-10-22,2023-06-10,False,True,True,False,False,True,True,True,True,True,False,True,False
5839,854,2023,2023-11-11,2024-05-25,True,True,True,False,False,True,True,True,True,True,False,True,False
5840,855,2021,2020-12-13,2021-05-02,False,False,False,False,False,True,False,False,False,False,False,True,False
5841,855,2022,2022-02-16,2022-08-01,False,True,False,False,False,True,False,False,False,False,False,True,False
5842,855,2023,2023-05-08,2023-12-05,True,True,False,False,False,True,False,False,False,False,False,True,False
5843,856,2021,2021-05-15,2021-05-26,False,False,False,False,False,False,False,False,False,False,False,True,False
5844,856,2022,2022-05-13,2022-05-23,False,True,False,False,False,False,False,False,False,False,False,True,False
5845,856,2023,2023-08-23,2023-12-05,False,True,False,False,False,False,False,False,False,False,False,True,False
5846,856,2024,2024-08-20,2024-10-04,True,False,False,False,False,False,False,False,False,False,False,True,False
5847,857,2021,2021-07-18,2021-07-18,False,True,True,False,False,False,False,False,False,False,False,True,False
5848,857,2022,2022-06-27,2022-06-27,False,True,True,False,False,False,False,False,False,False,False,True,False
5849,857,2023,2023-06-25,2023-06-25,True,True,True,False,False,False,False,False,False,False,False,True,False
5850,858,2021,2021-07-02,2021-07-07,False,True,True,False,False,False,True,True,True,True,False,True,False
5851,858,2023,2023-06-16,2023-06-21,True,True,True,False,False,False,True,True,True,True,False,True,False
5852,859,2021,2021-07-06,2021-07-18,False,True,True,False,False,False,True,True,True,True,False,True,False
5853,859,2022,2022-07-05,2022-07-17,False,True,True,False,False,False,True,True,True,True,False,True,False
5854,859,2023,2023-07-05,2023-07-16,False,True,True,False,False,False,True,True,True,True,False,True,False
5855,859,2024,2024-06-26,2024-07-03,True,True,False,False,False,False,False,False,False,False,False,True,True
5856,860,2021,2021-06-19,2021-12-18,True,True,True,False,False,False,True,True,True,True,False,True,False
5857,861,2021,2021-07-22,2022-05-21,False,False,False,False,False,True,False,False,False,False,False,True,False
5858,861,2022,2022-07-01,2023-05-20,True,True,False,False,False,True,False,False,False,False,False,True,False
5859,910,2021,2022-03-16,2022-03-30,False,True,False,False,False,False,False,False,False,False,False,True,False
5860,910,2023,2023-03-20,2023-04-03,False,True,False,False,False,False,False,False,False,False,False,True,False
5861,910,2024,2024-02-12,2024-02-26,True,True,False,False,False,False,False,False,False,False,False,True,False
5862,862,2021,2021-08-07,2022-06-11,False,True,False,False,False,True,False,False,False,False,False,True,False
5863,862,2022,2022-08-06,2023-06-17,False,True,False,False,False,True,False,False,False,False,False,True,False
5864,862,2023,2023-08-04,2024-06-15,False,True,False,False,False,True,True,True,True,True,False,True,False
5865,862,2024,2024-08-02,2025-04-12,True,False,False,False,False,True,False,False,False,False,False,True,False
5866,864,2021,2021-08-05,2021-08-05,False,True,True,False,False,False,False,False,False,False,False,True,False
5867,864,2022,2022-07-17,2022-07-17,False,True,True,False,False,False,False,False,False,False,False,True,False
5868,864,2023,2023-07-19,2023-07-19,False,True,True,False,False,False,False,False,False,False,False,True,False
5869,864,2024,2024-07-08,2024-07-08,True,False,False,False,False,False,False,False,False,False,False,True,False
5870,865,2021,2021-08-13,2022-05-14,False,True,True,False,False,True,True,True,True,True,False,True,False
5871,865,2022,2022-08-19,2023-05-21,False,True,True,False,False,True,True,True,True,True,False,True,False
5872,865,2023,2023-08-07,2024-05-18,True,True,True,False,False,True,True,True,True,True,False,True,False
5873,866,2021,2021-08-26,2021-08-26,False,True,True,False,False,False,True,True,True,True,False,True,False
5874,866,2022,2022-08-11,2022-08-11,False,True,True,False,False,False,True,True,True,True,False,True,False
5875,866,2023,2023-07-19,2023-07-19,False,True,True,False,False,False,True,True,True,True,False,True,False
5876,866,2024,2024-07-25,2024-07-25,True,False,False,False,False,False,False,False,False,False,False,True,False
5877,891,2021,2021-08-19,2022-04-06,False,True,False,False,False,False,False,False,False,False,False,True,False
5878,891,2022,2022-10-04,2023-04-11,False,True,False,False,False,False,False,False,False,False,False,True,False
5879,891,2023,2023-10-03,2024-04-02,True,True,False,False,False,False,False,False,False,False,False,True,False
5880,868,2021,2021-08-14,2021-12-30,True,True,False,False,False,True,False,False,False,False,False,True,False
5881,869,2021,2021-08-01,2021-08-14,True,False,False,False,False,False,False,False,False,False,False,True,False
5882,870,2021,2021-08-21,2022-06-08,False,True,False,False,False,False,False,False,False,False,False,True,False
5883,870,2022,2022-08-27,2022-11-26,True,True,False,False,False,False,False,False,False,False,False,True,False
5884,871,2021,2021-08-11,2022-05-13,False,True,False,False,False,False,False,False,False,False,False,True,False
5885,871,2022,2022-08-17,2023-05-09,False,True,True,False,False,False,True,True,True,True,False,True,False
5886,871,2023,2023-08-18,2024-05-16,True,True,True,False,False,False,True,True,True,True,False,True,False
